Consultas,"12/08/18-8/09/18, Clics","15/07/18-11/08/18, Clics","12/08/18-8/09/18, Impresiones","15/07/18-11/08/18, Impresiones","12/08/18-8/09/18, CTR","15/07/18-11/08/18, CTR","12/08/18-8/09/18, Posición","15/07/18-11/08/18, Posición"
tambomachay ubicacion,7,13,38,59,"18,42 %","22,03 %","2,7","2,2"
mistura festival,7,13,116,99,"6,03 %","13,13 %","3,5","2,8"
pisac ruins map,7,9,46,41,"15,22 %","21,95 %","3,3","2,8"
boleto turistico ollantaytambo,7,0,20,0,35 %,0 %,"2,3","0,00"
volcan misti ubicacion,7,0,64,0,"10,94 %",0 %,"3,8","0,00"
museo de arte contemporáneo cusco,7,12,48,67,"14,58 %","17,91 %","1,9","1,8"
museo de santa catalina cusco,7,13,25,37,28 %,"35,14 %","1,0","1,0"
boleto turistico cusco peru,7,12,13,20,"53,85 %",60 %,"1,8","1,9"
sacsayhuaman historia,7,12,222,260,"3,15 %","4,62 %","7,7","6,0"
galerias turisticas cusco,7,11,28,27,25 %,"40,74 %","1,1","1,0"
temple of the sun,7,0,91,0,"7,69 %",0 %,15,"0,00"
recorrido machu picchu,7,0,100,0,7 %,0 %,"4,1","0,00"
cultura cusco peru,7,10,34,34,"20,59 %","29,41 %","2,2","2,2"
museos gratis en cusco,7,9,74,110,"9,46 %","8,18 %","4,4","3,6"
cusco mapa turistico,7,11,166,212,"4,22 %","5,19 %","3,2","3,0"
huchuy qosqo,7,12,491,529,"1,43 %","2,27 %",11,13
visitar machu picchu,7,8,347,361,"2,02 %","2,22 %",14,"9,4"
fiestas cusco 2018,7,0,13,0,"53,85 %",0 %,"1,3","0,00"
la huacachina,7,24,1113,2548,"0,63 %","0,94 %",11,"8,3"
iglesias de cusco,7,9,109,127,"6,42 %","7,09 %","4,7","4,9"
el clima en la selva,7,0,94,0,"7,45 %",0 %,"6,2","0,00"
cultura cusco,7,0,263,0,"2,66 %",0 %,"9,1","0,00"
coricancha ubicacion,7,16,102,136,"6,86 %","11,76 %","2,3","2,1"
tour machupicchu desde cusco,7,0,45,0,"15,56 %",0 %,"1,8","0,00"
tour maras y moray,7,17,35,43,20 %,"39,53 %","2,8","1,9"
tours cusco peru,7,8,66,32,"10,61 %",25 %,"2,4","2,5"
tour cusco 2018,7,41,52,276,"13,46 %","14,86 %","2,0","1,1"
lima food festival 2018,7,0,66,0,"10,61 %",0 %,"5,5","0,00"
eventos culturales del estado peruano,7,0,128,0,"5,47 %",0 %,"5,9","0,00"
cuzco tour,7,11,98,109,"7,14 %","10,09 %","4,4","4,2"
san blas church,7,0,17,0,"41,18 %",0 %,"1,7","0,00"
iglesia san pedro,7,7,1161,860,"0,6 %","0,81 %","3,7","2,9"
tour arequipa cusco,7,11,24,40,"29,17 %","27,5 %","1,4","1,0"
machupicchu,7,58,2821,7332,"0,25 %","0,79 %",10,"5,3"
conciertos cusco 2018,7,11,82,105,"8,54 %","10,48 %","5,5","4,5"
descripcion de machu picchu resumen,7,16,17,43,"41,18 %","37,21 %","1,2","1,0"
san cristobal cusco,7,0,166,0,"4,22 %",0 %,"6,9","0,00"
plaza de armas arequipa,7,8,1129,1087,"0,62 %","0,74 %","6,2","4,6"
cusco gastronomia,7,21,124,144,"5,65 %","14,58 %","4,3","3,2"
fisa cusco,7,8,24,24,"29,17 %","33,33 %","2,6","4,4"
palacio del inca,7,7,385,320,"1,82 %","2,19 %","6,5","6,3"
festival mistura peru 2018,7,23,54,64,"12,96 %","35,94 %","3,4","2,0"
passeios em machu picchu,7,0,25,0,28 %,0 %,"2,6","0,00"
tour para machu picchu desde cusco,7,10,27,35,"25,93 %","28,57 %","1,5","1,4"
machupicchu.gob.pe,7,11,770,1221,"0,91 %","0,9 %","5,3","4,5"
festival mistura,7,7,66,58,"10,61 %","12,07 %","6,5","4,3"
cañon del colca ubicacion,7,0,188,0,"3,72 %",0 %,"5,4","0,00"
caracteristicas del misti,7,0,13,0,"53,85 %",0 %,"1,0","0,00"
resumen de la fiesta del inti raymi,7,0,23,0,"30,43 %",0 %,"3,3","0,00"
valle sagrado peru,7,21,626,967,"1,12 %","2,17 %","8,9","7,8"
museo de sitio qorikancha,7,9,40,36,"17,5 %",25 %,"1,3","1,5"
horario de atencion coricancha,7,0,17,0,"41,18 %",0 %,"1,8","0,00"
agencia de turismo cusco,7,11,142,201,"4,93 %","5,47 %","1,1","1,0"
pachamama en peru,7,7,21,23,"33,33 %","30,43 %","1,7","1,6"
ubicacion de ollantaytambo,7,0,43,0,"16,28 %",0 %,"3,8","0,00"
descripcion de machupicchu,7,7,27,28,"25,93 %",25 %,"1,0","1,0"
fiestas en cusco,7,11,74,94,"9,46 %","11,7 %","3,8","3,0"
cambio no peru,7,0,38,0,"18,42 %",0 %,"3,9","0,00"
iglesia santo domingo,7,0,470,0,"1,49 %",0 %,"3,2","0,00"
agencia cusco peru,7,0,19,0,"36,84 %",0 %,"1,0","0,00"
coricancha museo,7,8,32,31,"21,88 %","25,81 %","1,1","1,0"
ciudad del cusco,6,12,674,883,"0,89 %","1,36 %","4,1","2,4"
boleto turístico de cusco,6,7,11,14,"54,55 %",50 %,"2,5","1,4"
procesion del corpus christi pintura elementos,6,0,44,0,"13,64 %",0 %,"7,7","0,00"
templo del sol peru,6,0,101,0,"5,94 %",0 %,"2,6","0,00"
museo inka en cusco,6,0,13,0,"46,15 %",0 %,"1,3","0,00"
cuanto dura el inti raymi,6,9,14,22,"42,86 %","40,91 %","1,0","1,0"
clima de la sierra del peru,6,11,117,174,"5,13 %","6,32 %","4,1","3,9"
actividades en cusco,6,9,188,249,"3,19 %","3,61 %","8,7","6,4"
temperatura en la sierra peruana,6,0,11,0,"54,55 %",0 %,"1,3","0,00"
que conocer en cusco,6,12,232,327,"2,59 %","3,67 %","9,0","8,7"
resumen de la virgen de la candelaria,6,10,24,16,25 %,"62,5 %","2,0","1,5"
fiesta de la selva peruana,6,0,52,0,"11,54 %",0 %,"5,1","0,00"
palacios incas en cusco,6,0,25,0,24 %,0 %,"1,3","0,00"
iglesia san agustin arequipa,6,0,218,0,"2,75 %",0 %,"5,4","0,00"
museu inca cusco,6,8,72,76,"8,33 %","10,53 %","1,2","1,2"
machu picchu información,6,8,206,125,"2,91 %","6,4 %","4,0","5,7"
ubicación de las líneas de nazca,6,0,52,0,"11,54 %",0 %,"3,7","0,00"
machu picchu atracciones,6,0,21,0,"28,57 %",0 %,"2,4","0,00"
sacsayhuaman precio,6,15,25,40,24 %,"37,5 %","2,4","1,4"
catedral de cusco horarios,6,0,60,0,10 %,0 %,"4,5","0,00"
monasterio santa catalina cusco,6,0,18,0,"33,33 %",0 %,"1,7","0,00"
tributos del gobierno central,6,0,18,0,"33,33 %",0 %,"4,5","0,00"
iglesia las nazarenas horario,6,0,82,0,"7,32 %",0 %,"4,1","0,00"
todo sobre machu picchu,6,12,208,168,"2,88 %","7,14 %","4,9","4,6"
laguna humantay tour,6,19,214,340,"2,8 %","5,59 %","9,1","7,5"
museo del inka cusco,6,0,44,0,"13,64 %",0 %,"1,3","0,00"
entradas a sacsayhuaman,6,18,25,31,24 %,"58,06 %","1,3","1,0"
impuestos de peru,6,0,29,0,"20,69 %",0 %,"2,2","0,00"
cual es el clima de la selva peruana,6,0,15,0,40 %,0 %,"1,0","0,00"
raqchi cusco,6,18,149,270,"4,03 %","6,67 %","5,1","4,6"
sierra clima,6,0,99,0,"6,06 %",0 %,"4,6","0,00"
santuario nacional megantoni flora y fauna,6,0,49,0,"12,24 %",0 %,"8,7","0,00"
tour de machu picchu,6,9,36,30,"16,67 %",30 %,"3,4","1,3"
folleto turistico de cusco,6,0,62,0,"9,68 %",0 %,"1,7","0,00"
tren de cusco a machu picchu,6,7,255,332,"2,35 %","2,11 %",11,"9,0"
passeio cusco machu picchu,6,8,32,35,"18,75 %","22,86 %","3,2","2,4"
luces y sonido cusco 2018,6,0,36,0,"16,67 %",0 %,"1,0","0,00"
cusco pass,6,0,27,0,"22,22 %",0 %,"2,0","0,00"
tours in cusco,6,0,101,0,"5,94 %",0 %,"5,1","0,00"
paquete cusco machu picchu,6,8,34,51,"17,65 %","15,69 %","3,8","3,1"
ministerio de cultura cusco horario de atencion,6,10,52,69,"11,54 %","14,49 %","6,0","4,9"
coricancha historia,6,8,66,62,"9,09 %","12,9 %","4,6","3,7"
historia de la virgen de la candelaria puno,6,9,17,22,"35,29 %","40,91 %","1,9","1,9"
mistura festival in peru,6,11,10,17,60 %,"64,71 %","1,1","1,0"
casa concha,6,12,98,148,"6,12 %","8,11 %","3,8","5,6"
parque pino puno,6,0,120,0,5 %,0 %,"1,7","0,00"
coricancha peru,6,9,178,193,"3,37 %","4,66 %","3,3","2,9"
historia del señor de los milagros resumen,6,0,255,0,"2,35 %",0 %,"7,8","0,00"
horario de atencion del parque de las leyendas,6,10,97,265,"6,19 %","3,77 %","6,3","6,2"
patrimonio natural de ica,6,0,26,0,"23,08 %",0 %,"1,2","0,00"
emufec,6,0,183,0,"3,28 %",0 %,"4,0","0,00"
entradas para machu picchu,6,15,262,381,"2,29 %","3,94 %","7,0","4,9"
passeio para machu picchu,6,9,45,66,"13,33 %","13,64 %","1,4","1,5"
su clima de la selva,6,0,140,0,"4,29 %",0 %,"3,3","0,00"
donde se celebra el señor de los milagros,6,0,41,0,"14,63 %",0 %,"2,8","0,00"
texto de machu picchu,6,0,31,0,"19,35 %",0 %,"1,1","0,00"
tour sacsayhuaman,6,20,65,79,"9,23 %","25,32 %","3,8","2,3"
museos en cusco gratis,6,0,14,0,"42,86 %",0 %,"1,7","0,00"
tren machu picchu,6,20,774,2202,"0,78 %","0,91 %","8,6","7,6"
costo bus subida a machu picchu,6,0,11,0,"54,55 %",0 %,"1,5","0,00"
clima de la costa del peru,6,12,114,134,"5,26 %","8,96 %","6,1","5,3"
semana santa en cusco,6,0,49,0,"12,24 %",0 %,"3,7","0,00"
sitios arqueologicos de la cultura caral,6,0,38,0,"15,79 %",0 %,"6,2","0,00"
caracteristicas de la catedral de lima,6,7,17,15,"35,29 %","46,67 %","1,7","1,3"
pilcopata peru,6,10,83,89,"7,23 %","11,24 %","3,1","2,6"
city tour en cusco,6,9,86,93,"6,98 %","9,68 %","2,9","4,5"
iglesia de la compañia de jesus cusco,6,0,74,0,"8,11 %",0 %,"5,9","0,00"
puno altura,6,11,661,1184,"0,91 %","0,93 %","5,4","5,5"
pisaq,6,19,915,1809,"0,66 %","1,05 %","6,9","5,0"
el cusco,6,0,852,0,"0,7 %",0 %,"8,4","0,00"
amarucancha,6,0,93,0,"6,45 %",0 %,"5,3","0,00"
tour ollantaytambo,6,7,85,97,"7,06 %","7,22 %","5,3","4,4"
todo sobre el volcan misti,6,0,18,0,"33,33 %",0 %,"3,4","0,00"
tour a pisac,6,0,18,0,"33,33 %",0 %,"2,4","0,00"
montaña 7 colores tour,6,0,61,0,"9,84 %",0 %,"4,6","0,00"
la piedra de saywite,6,0,152,0,"3,95 %",0 %,"3,7","0,00"
festividades,6,12,690,570,"0,87 %","2,11 %","4,9","3,9"
como llegar a huayna picchu,6,11,33,35,"18,18 %","31,43 %","3,8","1,7"
el inti raymi resumen,6,10,19,36,"31,58 %","27,78 %","2,4","2,9"
precio de entrada a sacsayhuaman,6,13,15,32,40 %,"40,62 %","1,5","1,2"
bus a machu picchu,6,15,183,236,"3,28 %","6,36 %","4,8","4,4"
tour huayna picchu,6,12,42,43,"14,29 %","27,91 %","2,7","1,6"
iglesia la merced horario de atencion,6,0,27,0,"22,22 %",0 %,"2,6","0,00"
mapa de machu picchu,6,8,406,348,"1,48 %","2,3 %","1,2","1,1"
la selva del peru,6,8,195,727,"3,08 %","1,1 %","9,4","9,4"
festival del sol peru,6,0,50,0,12 %,0 %,"4,8","0,00"
tour pisac,6,9,49,42,"12,24 %","21,43 %","1,6","1,2"
museo inca garcilaso de la vega,6,0,31,0,"19,35 %",0 %,"1,6","0,00"
tipos de impuestos en el peru sunat,6,0,74,0,"8,11 %",0 %,"9,0","0,00"
museo qorikancha cusco,6,10,17,45,"35,29 %","22,22 %","1,1","1,0"
entrada a machu picchu ministerio de cultura 2018,6,0,115,0,"5,22 %",0 %,"8,6","0,00"
mal de altura en peru,6,14,50,61,12 %,"22,95 %","5,4","3,9"
¿cuáles son los impuestos en el perú?,6,0,26,0,"23,08 %",0 %,"1,5","0,00"
qenqo cusco peru,6,0,59,0,"10,17 %",0 %,"2,3","0,00"
iglesia san francisco de asis,6,8,304,298,"1,97 %","2,68 %","4,5","4,2"
casa de inca garcilaso dela vega,6,0,22,0,"27,27 %",0 %,"1,7","0,00"
coricancha horario,6,0,16,0,"37,5 %",0 %,"1,5","0,00"
cristo blanco cusco,6,0,331,0,"1,81 %",0 %,"8,4","0,00"
historia de la plaza de armas de arequipa,6,0,180,0,"3,33 %",0 %,"8,4","0,00"
mistura culinary festival,6,0,23,0,"26,09 %",0 %,"2,9","0,00"
cusco altitud,6,18,630,737,"0,95 %","2,44 %","5,2","3,7"
gastronomia del cusco,6,21,74,109,"8,11 %","19,27 %","4,0","3,4"
ollantaytambo ruins hours,6,0,64,0,"9,38 %",0 %,"4,1","0,00"
boleto cusco turistico,6,7,12,14,50 %,50 %,"1,4","1,4"
machu picchu español,6,0,148,0,"4,05 %",0 %,"4,7","0,00"
virgen de la candelaria puno historia,6,10,79,65,"7,59 %","15,38 %","4,1","2,4"
quanto vale o real no peru,6,0,217,0,"2,76 %",0 %,"6,2","0,00"
la fiesta del inti raymi resumen,6,9,35,30,"17,14 %",30 %,"4,0","3,5"
sacsayhuaman entrance fee,6,7,80,82,"7,5 %","8,54 %","6,8","6,3"
festividades religiosas de la sierra,6,0,79,0,"7,59 %",0 %,"2,9","0,00"
museo casa concha,6,23,140,166,"4,29 %","13,86 %","1,7","1,7"
descripcion de la catedral de lima,6,0,19,0,"31,58 %",0 %,"1,6","0,00"
cusco guia turistica,6,7,20,11,30 %,"63,64 %","1,7","1,0"
ciclismo en cusco,6,0,17,0,"35,29 %",0 %,"1,1","0,00"
convento santa catalina cusco,6,15,23,30,"26,09 %",50 %,"1,4","1,1"
paquetes a cusco,6,15,310,398,"1,94 %","3,77 %",10,"8,9"
cusco cathedral mass times,6,21,39,63,"15,38 %","33,33 %","6,4","4,5"
machu picchu guia,6,0,35,0,"17,14 %",0 %,"3,1","0,00"
puka pukara cusco,6,13,82,96,"7,32 %","13,54 %","1,7","2,1"
costo de entrada a sacsayhuaman,6,12,28,36,"21,43 %","33,33 %","2,9","1,5"
sacsayhuaman ubicacion,6,0,82,0,"7,32 %",0 %,"3,5","0,00"
inti raymi 2019,6,0,99,0,"6,06 %",0 %,"7,0","0,00"
ciudadela de machupicchu,6,0,15,0,40 %,0 %,"1,1","0,00"
sitio arqueológico de ollantaytambo,6,9,31,41,"19,35 %","21,95 %","1,6","1,7"
ciudad de cahuachi cultura nazca,6,0,24,0,25 %,0 %,"1,0","0,00"
tour valle sagrado cusco,6,0,94,0,"6,38 %",0 %,"7,2","0,00"
san cristobal church cusco,6,0,24,0,25 %,0 %,"2,4","0,00"
passeios machu picchu,6,0,20,0,30 %,0 %,"1,8","0,00"
informacion turistica de machu picchu,6,8,34,12,"17,65 %","66,67 %","1,4","1,0"
descripcion del parque de las aguas,6,0,20,0,30 %,0 %,"2,2","0,00"
camino inca a machu picchu,6,20,848,1742,"0,71 %","1,15 %","9,5","6,7"
boleto turistico en cusco,6,16,13,20,"46,15 %",80 %,"1,1","1,0"
altitude vale sagrado peru,6,0,23,0,"26,09 %",0 %,"3,7","0,00"
catedral cusco,6,9,146,114,"4,11 %","7,89 %","3,7","3,0"
paquetes turisticos machu picchu,6,8,53,46,"11,32 %","17,39 %","5,0","4,2"
culturas de cusco,5,0,34,0,"14,71 %",0 %,"6,1","0,00"
machu picchu passeio,5,0,22,0,"22,73 %",0 %,"2,0","0,00"
templos del peru,5,0,41,0,"12,2 %",0 %,"3,4","0,00"
turismo cusco ciudad,5,0,22,0,"22,73 %",0 %,"2,0","0,00"
resumen sobre el inti raymi,5,0,7,0,"71,43 %",0 %,"3,9","0,00"
templo do sol cusco,5,0,68,0,"7,35 %",0 %,"2,4","0,00"
la plaza de armas de arequipa,5,0,914,0,"0,55 %",0 %,"6,9","0,00"
climas de la sierra,5,10,169,167,"2,96 %","5,99 %","5,0","5,1"
humantay lagoon,5,12,122,215,"4,1 %","5,58 %","4,9","3,1"
festas tipicas do peru,5,0,83,0,"6,02 %",0 %,"6,3","0,00"
templos del cusco,5,0,56,0,"8,93 %",0 %,"3,3","0,00"
machu picchu 1 dia,5,9,31,38,"16,13 %","23,68 %","4,3","3,5"
inti raymi para niños,5,9,22,31,"22,73 %","29,03 %","4,0","1,9"
pueblo de ollantaytambo,5,0,24,0,"20,83 %",0 %,"5,0","0,00"
entradas cusco,5,10,20,22,25 %,"45,45 %","1,2","1,5"
deportes extremos en peru,5,0,210,0,"2,38 %",0 %,"9,9","0,00"
santo domingo cusco,5,0,121,0,"4,13 %",0 %,"6,8","0,00"
climas del peru por regiones,5,0,99,0,"5,05 %",0 %,11,"0,00"
describir machu picchu,5,0,41,0,"12,2 %",0 %,"2,8","0,00"
amazon trips from cusco,5,10,25,22,20 %,"45,45 %","5,5","4,0"
parque de las leyendas,5,7,260,5073,"1,92 %","0,14 %",12,"1,8"
montaña huayna picchu,5,0,322,0,"1,55 %",0 %,"8,3","0,00"
museo de cusco,5,13,79,87,"6,33 %","14,94 %","2,1","1,9"
informacion del parque de las leyendas,5,0,35,0,"14,29 %",0 %,"1,9","0,00"
circuito religioso cusco,5,7,18,22,"27,78 %","31,82 %","2,2","2,1"
comprar boletos machu picchu,5,0,91,0,"5,49 %",0 %,"8,4","0,00"
bus machu picchu precio,5,0,19,0,"26,32 %",0 %,"2,3","0,00"
el clima de la costa del peru,5,0,36,0,"13,89 %",0 %,"5,6","0,00"
q’enqo,5,0,106,0,"4,72 %",0 %,"2,9","0,00"
descripcion de un lugar del peru,5,9,49,26,"10,2 %","34,62 %","1,6","1,0"
climas de la costa,5,11,311,239,"1,61 %","4,6 %","6,1","4,4"
paquetes a machu picchu,5,0,145,0,"3,45 %",0 %,27,"0,00"
cuáles son los climas en la costa,5,0,162,0,"3,09 %",0 %,"4,1","0,00"
onibus machu picchu,5,0,56,0,"8,93 %",0 %,"4,9","0,00"
lineas de nazca resumen corto,5,0,21,0,"23,81 %",0 %,"7,8","0,00"
entrada a coricancha,5,0,17,0,"29,41 %",0 %,"1,4","0,00"
que hay en machu picchu,5,0,120,0,"4,17 %",0 %,"3,6","0,00"
moeda peruana valor,5,0,145,0,"3,45 %",0 %,"7,0","0,00"
biografia de la virgen de la candelaria,5,0,21,0,"23,81 %",0 %,"3,4","0,00"
pucara peru,5,10,258,345,"1,94 %","2,9 %","9,2","8,5"
tours cusco machupicchu,5,0,23,0,"21,74 %",0 %,"2,4","0,00"
centro arqueologico de chinchero,5,15,41,83,"12,2 %","18,07 %","3,7","2,8"
boletos machu picchu,5,29,988,2026,"0,51 %","1,43 %","9,3","6,5"
ollantaytambo sitio arqueologico,5,0,18,0,"27,78 %",0 %,"2,3","0,00"
como comprar boletos a machu picchu,5,9,29,28,"17,24 %","32,14 %","2,5","1,4"
jungle tours from cusco,5,0,12,0,"41,67 %",0 %,"1,5","0,00"
tours a cuzco,5,12,69,117,"7,25 %","10,26 %","2,3","1,6"
casa del almirante cusco,5,10,15,34,"33,33 %","29,41 %","2,3","1,4"
el clima en la selva peruana,5,0,22,0,"22,73 %",0 %,"1,0","0,00"
yawar fiesta,5,37,204,5262,"2,45 %","0,7 %","9,7","8,9"
paquetes turisticos cusco 2018,5,0,71,0,"7,04 %",0 %,"8,2","0,00"
museo del inca,5,0,37,0,"13,51 %",0 %,"1,6","0,00"
catedral de lima horarios,5,0,41,0,"12,2 %",0 %,"7,4","0,00"
museo machupicchu cusco,5,0,32,0,"15,62 %",0 %,"1,9","0,00"
descripcion de la laguna de huacachina,5,0,14,0,"35,71 %",0 %,"3,4","0,00"
lugares turisticos cusco ciudad,5,0,28,0,"17,86 %",0 %,"3,4","0,00"
clima en la costa peruana,5,0,73,0,"6,85 %",0 %,"5,1","0,00"
festividades de la costa peruana,5,0,115,0,"4,35 %",0 %,10,"0,00"
el clima de la costa peruana,5,11,170,143,"2,94 %","7,69 %","6,4","4,8"
atv tours cusco,5,0,34,0,"14,71 %",0 %,"3,9","0,00"
iglesia san francisco,5,13,702,847,"0,71 %","1,53 %","4,3","4,0"
calendario festivo cusco 2018,5,0,15,0,"33,33 %",0 %,"2,1","0,00"
tour peru,5,11,448,1124,"1,12 %","0,98 %",40,18
comprar entradas a machu picchu en cusco,5,8,36,24,"13,89 %","33,33 %","1,6","1,4"
jungle tour cusco,5,0,17,0,"29,41 %",0 %,"3,3","0,00"
museo casa concha cusco,5,0,29,0,"17,24 %",0 %,"1,3","0,00"
que hay en el parque de las leyendas,5,0,33,0,"15,15 %",0 %,"3,2","0,00"
atractivos turisticos de cusco,5,31,341,412,"1,47 %","7,52 %","7,0","3,8"
donde comprar boletos a machu picchu,5,9,41,55,"12,2 %","16,36 %","5,0","2,7"
valle sur cusco mapa,5,0,35,0,"14,29 %",0 %,"2,2","0,00"
arequipa cathedral,5,0,96,0,"5,21 %",0 %,"2,8","0,00"
kosñipata,5,0,126,0,"3,97 %",0 %,"4,2","0,00"
archaeological park ollantaytambo,5,10,36,39,"13,89 %","25,64 %","2,3","2,0"
boletos para entrar a machu picchu,5,9,31,39,"16,13 %","23,08 %","4,2","1,8"
altura de cusco peru,5,0,99,0,"5,05 %",0 %,"2,8","0,00"
cusco cathedral opening hours,5,0,24,0,"20,83 %",0 %,"2,0","0,00"
ticket machu picchu,5,11,287,654,"1,74 %","1,68 %",16,"8,9"
diversidad cultural del cusco,5,0,83,0,"6,02 %",0 %,"4,8","0,00"
cusco peru news,5,16,67,89,"7,46 %","17,98 %","4,3","2,6"
información de arequipa,5,0,203,0,"2,46 %",0 %,"7,7","0,00"
museo inka cusco horario,5,0,12,0,"41,67 %",0 %,"2,0","0,00"
cusco guia,5,0,7,0,"71,43 %",0 %,"1,4","0,00"
descripcion de arequipa,5,0,304,0,"1,64 %",0 %,"9,7","0,00"
plaza mayor de lima,5,8,1806,3534,"0,28 %","0,23 %","4,6","3,3"
palacio inca roca,5,0,31,0,"16,13 %",0 %,"3,5","0,00"
atractivos naturales de arequipa,5,0,20,0,25 %,0 %,"1,3","0,00"
la virgen de candelaria,5,0,102,0,"4,9 %",0 %,"4,8","0,00"
el clima de la selva del peru,5,0,13,0,"38,46 %",0 %,"1,0","0,00"
compañia de jesus cusco,5,0,97,0,"5,15 %",0 %,"6,9","0,00"
inti raymi in english,5,0,25,0,20 %,0 %,"3,6","0,00"
templo koricancha,5,0,72,0,"6,94 %",0 %,"2,6","0,00"
descripcion de raqchi,5,0,12,0,"41,67 %",0 %,"1,2","0,00"
paquete machu picchu,5,8,40,99,"12,5 %","8,08 %","7,6","6,5"
entrada cusco,5,0,15,0,"33,33 %",0 %,"1,7","0,00"
south valley cusco,5,0,22,0,"22,73 %",0 %,"1,9","0,00"
clima en la costa,5,0,200,0,"2,5 %",0 %,"7,4","0,00"
tours cusco machu picchu,5,20,126,145,"3,97 %","13,79 %","4,7","3,6"
cusco machu picchu,5,0,2321,0,"0,22 %",0 %,10,"0,00"
altura puno,5,9,531,741,"0,94 %","1,21 %","5,7","4,8"
chincheros cusco,5,7,270,551,"1,85 %","1,27 %","9,3","9,1"
gastronomia do peru,5,8,135,131,"3,7 %","6,11 %","8,8","7,3"
templos de cusco,5,0,33,0,"15,15 %",0 %,"2,4","0,00"
eventos en cusco,5,10,44,55,"11,36 %","18,18 %","6,9","5,3"
temple of the sun cusco,5,10,208,210,"2,4 %","4,76 %","3,2","3,3"
guia turistica de machu picchu,5,10,25,26,20 %,"38,46 %","1,0","1,0"
camino inca cusco,5,0,192,0,"2,6 %",0 %,"6,0","0,00"
convento de santo domingo,5,0,84,0,"5,95 %",0 %,"6,0","0,00"
cusco museos,5,11,25,28,20 %,"39,29 %","1,4","1,0"
dinheiro do peru,5,0,343,0,"1,46 %",0 %,"8,7","0,00"
la fiesta de san juan en la selva,5,20,190,256,"2,63 %","7,81 %","7,5","5,4"
tours para machu picchu,5,10,45,57,"11,11 %","17,54 %","3,5","2,7"
soroche,0,45,0,4669,0 %,"0,96 %","0,00","7,1"
la costa,0,42,0,4553,0 %,"0,92 %","0,00","7,4"
atractivos turisticos de cusco resumen,0,34,0,236,0 %,"14,41 %","0,00","3,4"
desfile civico cusco 2018,0,32,0,208,0 %,"15,38 %","0,00","1,2"
macchu picchu,0,28,0,2261,0 %,"1,24 %","0,00","5,6"
historia de la virgen del carmen de paucartambo,0,28,0,53,0 %,"52,83 %","0,00","1,1"
parque de la exposición horario,0,27,0,74,0 %,"36,49 %","0,00","1,1"
lima,0,25,0,11834,0 %,"0,21 %","0,00","7,8"
la selva peruana,0,25,0,2057,0 %,"1,22 %","0,00",10
dia de pachamama,0,25,0,868,0 %,"2,88 %","0,00","6,0"
saqsaywaman entrada,0,22,0,79,0 %,"27,85 %","0,00","1,7"
valle del sur cusco,0,21,0,101,0 %,"20,79 %","0,00","1,9"
trenes a machu picchu,0,21,0,702,0 %,"2,99 %","0,00","7,2"
fiestas patrias cusco 2018,0,21,0,88,0 %,"23,86 %","0,00","4,0"
tours de cusco a machu picchu,0,20,0,61,0 %,"32,79 %","0,00","2,1"
donde comprar entrada a machu picchu,0,19,0,105,0 %,"18,1 %","0,00","2,5"
lugares turisticos en cusco ciudad,0,19,0,60,0 %,"31,67 %","0,00","2,0"
museo histórico regional de cusco,0,19,0,165,0 %,"11,52 %","0,00","1,3"
tours en cuzco,0,19,0,171,0 %,"11,11 %","0,00","3,2"
sítio arqueológico inca,0,18,0,33,0 %,"54,55 %","0,00","1,0"
plaza de armas,0,18,0,3376,0 %,"0,53 %","0,00",16
cuzco perú,0,18,0,4646,0 %,"0,39 %","0,00","8,1"
santuario del señor de luren,0,17,0,297,0 %,"5,72 %","0,00","2,5"
cañon del colca,0,17,0,2084,0 %,"0,82 %","0,00","7,4"
sacsayhuaman tour,0,17,0,167,0 %,"10,18 %","0,00","3,9"
boletos a machu picchu,0,17,0,355,0 %,"4,79 %","0,00","5,9"
selva peruana,0,16,0,2179,0 %,"0,73 %","0,00","9,8"
passeio vale sagrado,0,16,0,143,0 %,"11,19 %","0,00","4,1"
comprar boletos a machu picchu,0,16,0,92,0 %,"17,39 %","0,00","2,1"
precio entrada sacsayhuaman,0,16,0,31,0 %,"51,61 %","0,00","1,1"
horario de atencion parque de las leyendas,0,16,0,398,0 %,"4,02 %","0,00","5,8"
city tour cusco mapa,0,16,0,77,0 %,"20,78 %","0,00","1,2"
fiestas en cusco 2018,0,16,0,37,0 %,"43,24 %","0,00","1,4"
fiesta de la virgen del carmen,0,16,0,552,0 %,"2,9 %","0,00","8,5"
park of the exposition,0,16,0,267,0 %,"5,99 %","0,00","3,0"
altura valle sagrado,0,16,0,92,0 %,"17,39 %","0,00","1,0"
donde comprar entradas para machu picchu,0,15,0,88,0 %,"17,05 %","0,00","2,4"
cusco machupicchu,0,15,0,713,0 %,"2,1 %","0,00","4,3"
tours machupicchu,0,15,0,72,0 %,"20,83 %","0,00","1,6"
selva del peru,0,15,0,1064,0 %,"1,41 %","0,00","8,5"
resumen del inti raymi,0,15,0,120,0 %,"12,5 %","0,00","4,1"
centro arqueologico tipon,0,15,0,29,0 %,"51,72 %","0,00","1,0"
puruchuco,0,15,0,1177,0 %,"1,27 %","0,00","7,9"
lugares turisticos del cusco,0,14,0,588,0 %,"2,38 %","0,00","5,7"
cusco que hacer,0,14,0,307,0 %,"4,56 %","0,00","8,4"
